year,perCapita
1970,103.6392538
1971,109.2504485
1972,113.3356668
1973,132.5936143
1974,149.9177835
1975,142.7284602
1976,145.2853148
1977,167.3394587
1978,185.5489352
1979,201.6718468
1980,242.773794
1981,243.7458083
1982,243.9106905
1983,260.5176496
1984,246.6915537
1985,261.9440092
1986,276.9775571
1987,301.7407373
1988,313.1047653
1989,304.7353511
1990,322.009524
1991,263.302702
1992,275.6848623
1993,262.7133086
1994,303.7375091
1995,327.6131585
1996,351.5205421
1997,364.3939403
1998,365.1559233
1999,388.8733563
2000,385.6582543
2001,393.6458356
2002,410.6459432
2003,477.2605421
2004,544.9182988
2005,617.4590917
2006,695.8979608
2007,885.6450269
2008,845.8995702
2009,949.80562
2010,1165.618829
2011,1250.350294
2012,1239.280359
2013,1238.464579
2014,1355.521805
2015,1391.459386
2016,1489.519961
2017,1714.153559
2018,1721.43383
2019,1812.822611
2020,1662.94203
